"key", "en", "ru", "ch", "de", "fr", ""
"regen_info", "Increases HP regeneration for sleep and for each turn. Also decreases enemy block chance", "Повышает восстановление здоровья за ход и за сон. Также снижает вероятность вражеского блока", "提高睡眠和每一回合的生命值。同时减少敌人的格挡几率", "Erhöht die Gesundheitsregeneration für den Schlaf und für jede Runde. Verringert auch die Blockchance des Feindes", "Augmente la régénération de santé pour le sommeil et pour chaque tour. Diminue également les chances de blocage de l'ennemi", ""
"bash_info", "makes enemy skip a turn", "враг пропускает ход", "使敌人跳过转弯", "Lässt den Feind eine Runde überspringen", "fait sauter un tour à l'ennemi", ""
"stun_info", "enemy cant move, and can only use heavy attack", "враг не может двигаться, и может использовать только сильную атаку", "敌人动弹不得. 并且只能使用重度攻击", "Feind kann sich nicht bewegen und kann nur schwere Angriffe verwenden", "l'ennemi ne peut pas bouger et ne peut utiliser que des attaques lourdes", ""
"armor_info", "physical damage reduction (adds to power bonus)", "снижение физ. урона (прибавляется к бонусу от МОЩЬ)", "减少物理伤害（增加力量加成）", "Reduzierung des physischen Schadens (erhöht den Leistungsbonus)", "réduction des dégâts physiques (ajoute au bonus de puissance)", ""
"miss_info", "physical attack misses", "промах физ. атаки", "身体攻击未命中", "physischer Angriff verfehlt", "attaque physique ratée", ""
"crit_info", "your final attack damage is multipliyed by crit mult", "ваш конечный урон умножается на множитель крита", "您的最终伤害乘以暴击系数", "Ihr endgültiger Angriffsschaden wird mit Crit Mult multipliziert", "l'ennemi ne peut pas bouger et ne peut utiliser que des attaques lourdes", ""
"damage_info", "bonus % to your damage", "бонус в % к урону", "对你的伤害加成％", "Bonus% auf deinen Schaden", "bonus% à vos dégâts", ""
"", "", "", "", "", "", ""
"", "", "", "", "", "", ""
"", "", "", "", "", "", ""
"", "", "", "", "", "", ""
"", "", "", "", "", "", ""
"", "", "", "", "", "", ""
